"index","type_of_reference","title","id","pub_title","start_page","end_page","pub_year","keywords","place_published","unknown_tag","authors","volume","url","number","issn","publisher"
"1814","JOUR","Effect of heating nest boxes on egg laying in the blue tit (Parus caeruleus)","1188","The Auk","95","99","1993","['blue tit, Parus caeruleus, laying date, egg mass, cavity-nesting birds, nest box, nestbox, nest-box, Aves, bird, passerine, Paridae']","","defaultdict(<class 'list'>, {'U1': ['1188']})","Yom-Tov, Y.; Wright, J.","110","","","",""
"1815","JOUR","Effective solutions for howler conservation","1243","International Journal of Primatology","579","598","1998","['Conservation, howler, Alouatta caraya, monkey, primate, translocation, mammalia']","","defaultdict(<class 'list'>, {'U1': ['1243']})","Horwich, R.H.","19","","","",""
"1816","JOUR","Effective solutions for howler conservation","1244","International Journal of Primatology","579","598","1998","['Conservation, black howler, Alouatta caraya, monkey, primates, spider monkey, deforestation, community programmes, chicle industry, Brosimum alicastrum, Manilkara zapota, Mahogany, Swietenia macrophylla, cedar, Cedrela mexicana, Ateles geoffroyi']","","defaultdict(<class 'list'>, {'U1': ['1244']})","Horwich, R.H.","19","","","",""
"1817","JOUR","Effect of prescribed burning on placement of sage sparrow nests","1340","The Condor","294","295","1985","['Amphispiza belli, Artemisia, Aves, bird, Emberizidae, fire ecology, fire management, habitat management, nest placement, nest-site selection, prescribed burning, sagebrush steppe, sage sparrow, vegetation coverage, vegetation height']","","defaultdict(<class 'list'>, {'U1': ['1340']})","Winter, B.M.; Best, L.B.","87","","","",""
"1818","JOUR","Effect of urban land use on pollinator (Hymenoptera: Apoidea) communities in a desert metropolis","1475","Basic and Applied Ecology","209","218","2001","['Bees, bee, Hymenoptera, apoidea, pollinators, desert, urban, gardens, parks, diversity, Hymenoptera, Insecta, desert']","","defaultdict(<class 'list'>, {'U1': ['1475']})","McIntyre, N.E.; Hostetler, M.E.","2","","","",""
"1819","JOUR","Effect of supplemental food on the breeding of blue and great tits in Mediterranean habitats","1503","Ornis Scandinavica","36","42","1989","['Aves, bird, blue tit, breeding success, clutch initiation, clutch size, Cyanistes caeruleus, fledging success, food availability, great tit, hatching success, laying date, nest box, nest-box, nestbox, nesting success, Paridae, Parus caeruleus, Parus major, reproductive success, supplemental feeding, supplementary feeding, supplementary food provision']","","defaultdict(<class 'list'>, {'U1': ['1503']})","Clamens, A.; Isenmann, P.","20","","","",""
"1820","JOUR","Effect of photoperiodic regimes on the oviposition of artificially overwintered Bombus terrestris L. queens and the production of sexuals","1707","Journal of Apicultural Research","27","33","1994","['Insecta, Hymenoptera, Apoidea, Apiformes, pollinator, bee, bumblebee, bombus, nest box, nest-box, nestbox, buff-tailed bumblebee, Bombus terrestris, captive rearing, egg-laying, photoperiod, light, dark']","","defaultdict(<class 'list'>, {'U1': ['1707']})",",; Aupinel, P.","33","","","",""
"1821","JOUR","Effect of sheep grazing on a leafy spurge-infested Idaho fescue community","1743","Journal of Range Management","247","252","1998","['Invasive plants, weed control, density, frequency, seedbank, bluebunch wheatgrass, leafy spurge, Euphorbia esula, Idaho fescue, Festuca idahoensis, Pseudoroegneria spicata, grassland management, sheep grazing, Ovis aries, Kentucky bluegrass, Poa pratensis, Sandberg bluegrass, Poa sandbergii, brome, Bromus, sedge, Carex']","","defaultdict(<class 'list'>, {'U1': ['1743']})","Olson, B.E.; Wallander, R.T.","51","","","",""
"1822","JOUR","Effect of three intensities of clipping on the density and production of meadow vegetation","1992","Journal of Range Management","34","38","1961","['Livestock grazing, grazing intensity, clipping, mowing, ovalhead sedge, Carex festivella, beaked sedge, Carex rostrata, Raynoldâ€™s sedge, Carex raynoldsi, dunhead sedge, Carex phaeocephala, baltic rush, Juncus balticus and tufted hairgrass, Deschampsia caespitosa, white clover, Trifolium repens, herbage production, forage, riparian vegetation, grassland management']","","defaultdict(<class 'list'>, {'U1': ['1992']})","Pond, F.W.","14","","","",""
"1823","JOUR","Effect of seed source, topsoil removal, and plant neighbor removal on restoring California coastal prairies","2051","Restoration Ecology","569","577","2006","['competition, California oatgrass, Danthonia californica, exotic annual species, grazing, nitrogen reduction, weeding, invasive plants, grassland management, seeding, sowing, transplanting, topsoil removal, prairie, prairie restoration']","","defaultdict(<class 'list'>, {'U1': ['2051']})","Buisson, E.; Holl, K.D.; Anderson, S.; Corcket, E.; Hayes, G.F.; Torre, F.; Peteers, A.; Dutoit, T.","14","","","",""
"1824","JOUR","Effect of roost harassment on cormorant movements and roosting in the delta region of Mississippi","2078","Waterbirds","44","51","2002","['Non-lethal deterrent, double-crested cormorant, Phalacrocorax auritus, aquaculture, fish farms, channel catfish, Ictalurus punctatus, predation, roost, fish farming, Aves, bird']","","defaultdict(<class 'list'>, {'U1': ['2078']})","Tobin, M.E.; King, D.T.; Dorr, B.S.; Werner, S.J.; Reinhold, D.S.","25","","","",""
"1825","JOUR","Effectiveness of African wild dog Lycaon pictus reintroductions in South Africa","2082","Systematic Reviews Centre for Evidence-Based Conservation","","","2008","['systematic review, African wild dog, Lycaon pictus, mammal, mammalia, re-introduction, reintroduction, survival']","","defaultdict(<class 'list'>, {'U1': ['2082']})","Gusset, M.; Stewart, G.B.; Bowler, D.E.; Pullin, A.S.","33","","","",""
"1826","JOUR","Effectiveness of barriers, pyrotechnics, flashing lights, and Scarey ManÂ® for deterring heron predation on fish","2084","Wildlife Society Bulletin","686","694","1997","['Aves, bird, Ardea herodias, black-crowned night-heron, control, frightening, great blue heron, hatchery, Nycticorax nycticorax, fish-farm, fish farm, non-lethal deterrent, raceway, rainbow trout, Oncorhynchus mykiss, fish predation']","","defaultdict(<class 'list'>, {'U1': ['2084']})","Andelt, W.F.; Woolley, T.P.; Hopper, S.N.","25","","","",""
"1827","JOUR","Effectiveness of alarm-distress calls for frightening herons from a fish rearing facility","2085","The Progressive Fish-Culturist","258","262","1996","['Aves, bird, black-crowned night heron, Nycticorax nycticorax, great blue heron, Ardea herodias, fish farm, fish-farm, rainbow trout, Oncorhynchus mykiss, non-lethal deterrent, fish predation']","","defaultdict(<class 'list'>, {'U1': ['2085']})","Andelt, W.F.; Hopper, S.N.","58","","","",""
"1828","JOUR","Effectiveness of chemical and mechanical bracken Pteridium aquilinum control treatments in northern coastal heathlands on the island of Lygra, Hordaland, Norway","2272","Conservation Evidence","12","17","2008","['bracken, Pteridium aquilinum, heather, Calluna vulgaris, Asulox, Gratil, herbicide application, grazing, asulam, Amidosulfuron, invasive plants, ericaceous shrubs, common bent, Agrostis capillaris, sweet vernal, Anthoxantum odoratum, heath speedwell, Veronica officinalis, heath bedstraw, Galium saxatile, heath rush, Juncus squarrosus, marsh thistle, Cirsium palustre, birdâ€™s-foot trefoil, Lotus corniculatus, meadow buttercup, Ranunculus acris, marsh violet, Viola palustris, Yorkshire fog, Holcus lanatus, globe flower, Trientalis europaea, tormentil, Potentilla erecta, moss, Hylocomium splendens, bilberry, Vaccinium myrtillus']","","defaultdict(<class 'list'>, {'U1': ['2272']})","Måren, I.E.; Vandvik, V.; Ekelund, K.","5","","","",""
"1829","JOUR","Effect of time since burn on winter use of dry prairie by grasshopper sparrow Ammodramus savannarum and sedge wren Cistothorus platensis, Florida, USA","2356","The Condor","511","522","2009","['Aves, prairie management, wiregrass, saw palmetto, Sereona repens, Aristida beyrichiana, grassland management, prescribed burning, fire']","","defaultdict(<class 'list'>, {'U1': ['2356']})","Butler , A.B.; Martin, J.A.; Plamer, W.E.; Carroll, J.P.","111","","","",""
"1830","JOUR","Effect of non-inversion tillage on field usage by UK farmland birds in winter: Capsule Several guilds of wintering farmland birds showed preferences for cereal fields established by non-inversion tillage, rather than ploughing","2584","Bird Study","173","179","2005","","","defaultdict(<class 'list'>, {'U1': ['2584']})","Cunningham, H.M.; Bradbury, R.B.; Chaney, K.; Wilcox, A.","52","","","",""
"1831","JOUR","Effect of herbicide drift on adjacent boundary vegetation","2597","Agriculture, Ecosystems and Environment","1","6","1999","","","defaultdict(<class 'list'>, {'U1': ['2597']})","de Snoo, G.R.; van der Poll, R.J.","73","","","",""
"1832","JOUR","Effect of sward type and management on butterfly numbers in the uplands","2674","Aspects of Applied Biology","15","18","2008","","","defaultdict(<class 'list'>, {'U1': ['2674']})","Fraser, M.D.; Evans, J.G.; Davies, D.W.R.; Vale, J.E.","85","","","",""
"1833","JOUR","Effect of ploughing and previous crop on winter wheat pests and their natural enemies under integrated farming system in Slovakia","2676","Anzeiger fur Schadlingskunde","60","65","2001","","","defaultdict(<class 'list'>, {'U1': ['2676']})","Gallo, J.; Pekar, S.","74","","3","",""
"1834","CONF","Effectiveness of a newly created habitat strip as dispersal corridor for invertebrates in an agricultural landscape","2702","Environmental Encounters Series: Workshop on ecological corridors for invertebrates: strategies of dispersal and recolonisation in today's agricultural and forestry landscapes","67","80","2000","","Strasbourg","defaultdict(<class 'list'>, {'U1': ['2702']})","Gruttke, H.; Willecke, S.","","","","","Council of Europe"
"1835","JOUR","Effect of reduced tillage systems on earthworm communities in a 6-year organic rotation","2863","European Journal of Soil Biology","209","215","2007","","","defaultdict(<class 'list'>, {'U1': ['2863']})","Metzke, M.; Potthoff, M.; Quintern, M.; Hess, J.; Joergensen, R.G.","43","","","",""
"1836","JOUR","Effect of IPM practices and conventional spraying on spider population dynamics in an apple orchard","2904","Agriculture, Ecosystems and Environment","155","166","1999","","","defaultdict(<class 'list'>, {'U1': ['2904']})","Pekar, S.","73","","","",""
"1837","JOUR","Effect of predator reduction on waterfowl nesting success","3142","The Journal of Wildlife Management","669","682","1968","","","defaultdict(<class 'list'>, {'U1': ['3142']})","Balser, D.S.; Dill, H.H.; Nelson, H.K.","32","","4","0022541X",""
"1838","JOUR","Effect of nest-box size on nest-site preference and reproduction in American kestrels","3175","Journal of Raptor Research","127","133","1994","","","defaultdict(<class 'list'>, {'U1': ['3175']})","Bortolotti, G.R.","28","","3","",""
"1839","JOUR","Effect of white-tailed deer on songbirds within managed forests in Pennsylvania","3337","The Journal of Wildlife Management","711","718","1994","","","defaultdict(<class 'list'>, {'U1': ['3337']})","deCalesta, D.S.","58","","4","0022541X",""
"1840","JOUR","Effect of restrictive harvest regulations on survival and recovery rates of American black ducks","3404","The Journal of Wildlife Management","1544","1557","1998","","","defaultdict(<class 'list'>, {'U1': ['3404']})","Francis, C.M.; Sauer, J.R.; Serie, J.R.","62","","4","0022541X",""
"1841","JOUR","Effect of nestbox type on occupancy and breeding biology of tree sparrows Passer montanus in central Spain","3417","Ibis","356","364","2008","","","defaultdict(<class 'list'>, {'U1': ['3417']})","Garcia-Navas, V.; Arroyo, L.; Sanz, J.J.; Dias, M.","150","","2","",""
"1842","JOUR","Effect of wetting-up ditches on emergent insect numbers","3494","Aspects of Applied Biology","261","262","2007","","","defaultdict(<class 'list'>, {'U1': ['3494']})","Aquilina, R.; Williams, P.; Nicolet, P.","81","","","",""
"1843","JOUR","Effect of mixed cropping on some insect pests of Brassicas - reduced Brevicoryneae infestations and influences on epigeal predators and the disturbance of oviposition behavior in Delia-brassicae","3504","Entomologia Experimentalis et Applicata","129","140","1982","","","defaultdict(<class 'list'>, {'U1': ['3504']})","Tukahirwa, E.M.; Coaker, T.H.","32","","","",""
"1844","JOUR","Effectiveness of conservation measure on Montagu’s harriers in agricultural areas of Spain","3568","Journal of Raptor Research","117","122","1999","","","defaultdict(<class 'list'>, {'U1': ['3568']})","Corbacho, C.; Sanchez, J.M.; Sanchez, A.","33","","","",""
"1845","JOUR","Effect of Strychnine Control on Nest Predators of Dabbling Ducks","3649","The Journal of Wildlife Management","436","440","1972","","","defaultdict(<class 'list'>, {'U1': ['3649']})","Lynch, G.M.","36","","","",""
"1846","JOUR","Effect of Nest-Site Supplementation on Polygynous Behavior in the House Wren (Troglodytes aedon)","3718","The Condor","784","787","1991","","","defaultdict(<class 'list'>, {'U1': ['3718']})","Johnson, L.S.; Kermott, L.H.","93","","3","",""
"1847","JOUR","Effect of saline added to food on weight gain of hand-raised falcons","3834","Journal of Raptor Research","119","120","1988","","","defaultdict(<class 'list'>, {'U1': ['3834']})","Oliphant, L.","22","","","",""
"1848","JOUR","Effect of hay transfer on long-term establishment of vegetation and grasshoppers on former arable fields","3987","Restoration Ecology","157","166","2006","","","defaultdict(<class 'list'>, {'U1': ['3987']})","Kiehl, K.; Wagner , C.","14","","","",""
"1849","JOUR","Effect of soils from six management systems on root-knot nematodes and plant growth in greenhouse assays","4127","Journal of Nematology","467","472","2005","","","defaultdict(<class 'list'>, {'U1': ['4127']})","Kokalis-Burelle, N.; Peries, X.; Chellemi, D.O.","37","","","0022-300X",""
"1850","JOUR","Effect of overseeding forages into alfalfa on alfalfa weevil, forage yield and quality","4168","Journal of Agronomy and Crop Science","75","81","2001","","","defaultdict(<class 'list'>, {'U1': ['4168']})","Putnam, D.H.; Long, R.; Reed, B.A.; Williams, W.A.","187","","","0931-2250",""
"1851","JOUR","Effect of organic, sustainable, and conventional management strategies in grower fields on soil physical, chemical, and biological factors and the incidence of Southern blight","4215","Applied Soil Ecology","202","214","2007","['Clay loam, Silt loam']","","defaultdict(<class 'list'>, {'U1': ['4215']})","Liu, B.; Tu, C.; Hu, S.; Gumpertz, M.; Ristaino, J.B.","37","dx.doi.org/10.1016/j.apsoil.2007.06.007","3","",""
"1852","JOUR","Effect of tillage on soil organic carbon mineralization estimated from 13C abundance in maize fields","4217","Journal of Soil Science","587","596","1990","['Hapludalf on loess, Luvisol, Mineralisation, Mineralization']","","defaultdict(<class 'list'>, {'U1': ['4217']})","Balesdent, J.; Mariotti, A.; Boisgontier, D.","41","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2389.1990.tb00228.x/pdf","","",""
"1853","JOUR","Effect of vaccination against yersiniosis on the reltive percent survival, bactericidal and lysozyme response of Atlantic salmon, Salmo salar","4699","Aquaculture","201","206","2011","","","defaultdict(<class 'list'>, {'U1': ['4699']})","Costa, A.A.; Leef, M.J.; Bridle, A.R.; Carson, J.; Nowak, B.F.","315","","","",""
"1854","JOUR","Effect of taurine supplementation on the metabolism and body lipid-to-protein ratio in juvenile Atlantic salmon (Salmo salar)","4732","Aquaculture Research","349-360","","2012","","","defaultdict(<class 'list'>, {'U1': ['4732']})","Espe, M.; Ruohonen, K.; El- Mowafi, A.","43","","","1355557X",""
"1855","JOUR","Effect of stachyose, raffinose and soya-saponins supplementation on nutrient digestibility, digestive enzymes, gut morphology and growth performance in Atlantic salmon (Salmo salar, L)","4756","Aquaculture","145-152","","2011","","","defaultdict(<class 'list'>, {'U1': ['4756']})","Sørensen, M.; Penn, M.; El-Mowafi, A.; Storebakken, T.; Chunfang, C.; Øverland, M.; Krogdahl, Å.","314","","","00448486",""
"1856","JOUR","Effect of streambank fencing on herpetofauna in pasture stream zones","4928","Wildlife Society Bulletin","361–369","","2002","","","defaultdict(<class 'list'>, {'U1': ['4928']})","Homyack, J.D.; Giuliano, W.M","30","http://www.jstor.org/stable/3784492","","",""
"1857","CONF","Effectiveness of amphibian mitigation measures along a new highway","5000","Proceedings of the 2007 International Conference on Ecology and Transportation","370-376","","2007","","Center for Transportation and the Environment, North Carolina State University","defaultdict(<class 'list'>, {'U1': ['5000']})","Merrow, J.","","http://escholarship.org/uc/item/7bn605dv","","",""
"1858","JOUR","Effect of pest-management operations on the abundance and size-frequency distribution of the New Zealand endemic frog Leiopelma hochstetteri","5013","New Zealand Journal of Zoology","389-400","","2009","","","defaultdict(<class 'list'>, {'U1': ['5013']})","Nájero-Hilman, E.; King, P.; Alfaro, A.C.; Breen, B.B.","36","http://dx.doi.org/10.1080/03014223.2009.9651471","","",""
"1859","JOUR","Effective culvert placement and design to facilitate passage of amphibians across roads","5028","Journal of Herpetology","618-626","","2010","","","defaultdict(<class 'list'>, {'U1': ['5028']})","Patrick, D.A.; Schalk, C.M.; Gibbs, J.P.; Woltz, H.W.","44","http://www.savethefrogs.com/actions/roads/images/Patrick-2010-Culvert-Roads.pdf","","",""
"1860","JOUR","Effect of priming injections of luteinizing hormone-releasing hormone on spermiation and ovulation in Günther’s toadlet, Pseudophryne guentheri","5091","Reproductive Biology and Endocrinology","68-76","","2011","","","defaultdict(<class 'list'>, {'U1': ['5091']})","Silla, A.J.","9","http://www.rbej.com/content/9/1/68","","",""
"1861","JOUR","Effectiveness of a social marketing strategy, coupled with law enforcement, to conserve tigers and their prey in Nam Et Phou Louey National Protected Area, Lao People’s Democratic Republic","5196","Conservation Evidence","57","66","2013","","","defaultdict(<class 'list'>, {'U1': ['5196']})","Saypanya, S.; Hansel, T.; Johnson, A.; Bianchessi, A.; Sadowsky, B.","10","","","1758-2067",""
"1862","JOUR","Effect of long-term application of organic amendment on C storage in relation to global warming potential and biological activities in tropical flooded soil planted to rice","5361","Nutrient Cycling in Agroecosystems","273","285","2012","['Aeric Endoaquept, Sandy clay loam']","","defaultdict(<class 'list'>, {'U1': ['5361']})","Bhattacharyya, P.; Roy, K.S.; Neogi, S.","94","http://link.springer.com/article/10.1007%2Fs10705-012-9540-y#","","",""
"1863","JOUR","Effect of hydrogen peroxide spraying on Hydrocotyl ranunculoides L.f. survival.","5536","Plant Research International, Wageningen","1-9","","2010","","","defaultdict(<class 'list'>, {'U1': ['5536']})","Joost van der Burg, W.","","","","",""
"1864","JOUR","Effect of substratum drying on the survival and migrations of Ponto-Caspian and native gammarids (Crustacea: Amphipoda)","5541","Hydrobiologia","47","59","2013","","","defaultdict(<class 'list'>, {'U1': ['5541']})","Poznańska, M.; Kakareko, T.; Krzyżyński, M.","700","","","",""
"1865","JOUR","Effectiveness of artificial amphibian breeding sites against non-native species in a public protected area in Tuscany, Italy","5561","Conservation Evidence","12","16","2016","","","defaultdict(<class 'list'>, {'U1': ['5561']})","Bruni, G.; Ricciardi, G.; Vannini, A.","13","","","",""
"1866","JOUR","Effect of selective logging on canopy and stand structure and tree species composition in a lowland dipterocarp forest in peninsular Malaysia","5774","Forest ecology and management","297-320","","2003","","","defaultdict(<class 'list'>, {'U1': ['5774']})","Okuda, T.; Suzuki, M.; Adachi, N.; Quah, E.S.; Hussein, N.A.; Manokaran, N.","175","http://www.sciencedirect.com/science/article/pii/S0378112702001378","","0378-1127",""
"1867","JOUR","Effect of shelterwood cutting method on forest regeneration and stand structure in a Hyrcanian forest ecosystem","5799","Journal of Forestry Research","265-272","","2010","","","defaultdict(<class 'list'>, {'U1': ['5799']})","Pourmajidian, M.R.; Jalilvand, H.; Fallah, A.; Hosseini, S.A.; Parsakhoo, A.; Vosoughian, A.; Rahmani, A.","21","http://link.springer.com/article/10.1007%2Fs11676-010-0070-7","","1007-662X",""
"1868","JOUR","Effect of hydrologic restoration and Lonicera maackii removal on herbaceous understory vegetation in a bottomland hardwood forest","5837","Restoration Ecology","453-463","","2008","","","defaultdict(<class 'list'>, {'U1': ['5837']})","Swab, R.M.; Zhang, L.; Mitsch, W.J.","16","http://onlinelibrary.wiley.com/doi/10.1111/j.1526-100X.2007.00315.x/full","","1526-100X",""
"1869","JOUR","Effect of silvicultural system on vascular flora in a wet sclerophyll forest in south-eastern Tasmania","5851","Australian Forestry","247-257","","2003","","","defaultdict(<class 'list'>, {'U1': ['5851']})","Wapstra, M.; Duncan, F.; Williams, K.; Walsh, D.","66","http://www.tandfonline.com/doi/abs/10.1080/00049158.2003.10674919#.VCfcavmSxe8","","0004-9158",""
"1870","JOUR","Effect of mowing regime on abundance of green-winged orchid Anacamptis morio on coastal grassland in Merseyside, England","5910","Conservation Evidence","79","81","2016","","","defaultdict(<class 'list'>, {'U1': ['5910']})","Smith, P.H.; Cross, S.","13","","","",""
"1871","JOUR","Effect of varying coppice height on tree survival and ground flora in Brasenose Wood, Oxfordshire, UK","5913","Conservation Evidence","1","4","2017","","","defaultdict(<class 'list'>, {'U1': ['5913']})","Wright, I.R.; Bartel, T.W.","14","","","",""
"1872","JOUR","Effect of Liquid Cattle Manure on Corn Yield, Composition, and Soil Properties","5932","Agronomy Journal","1041-1047","","2007","","","defaultdict(<class 'list'>, {'U1': ['5932']})","Lithourgidis, A.S.; Matsi, T.; Barbayiannis, N.; Dordas, C.A.","99","http://dx.doi.org/10.2134/agronj2006.0332","","",""
"1873","JOUR","Effect of integrated reservoir tillage for in-situ rainwater harvesting and other tillage practices on soil physical properties","6010","Soil and Tillage Research","50","60","2015","['Bulk density']","","defaultdict(<class 'list'>, {'U1': ['6010']})","Salem, H.M.; Valero, C.; Muñoz, M.; Gil-Rodríguez, M.","151","http://www.sciencedirect.com/science/article/pii/S0167198715000549","","0167-1987",""
"1874","JOUR","Effect of organic and mineral fertilizers on soil respiration and enzyme activities of two Mediterranean horticultural soils","6019","Biology and Fertility of Soils","555","561","2009","","","defaultdict(<class 'list'>, {'U1': ['6019']})","Iovieno, P.; Morra, L.; Leone, A.; Pagano, L.; Alfani, A.","45","http://dx.doi.org/10.1007/s00374-009-0365-z","5","1432-0789",""
"1875","JOUR","Effect of shallow tillage, moldboard plowing, straw management and compost addition on soil organic matter and nitrogen in a dryland barley/wheat-vetch rotation","6020","Soil and Tillage Research","39","46","2011","['Dryland agriculture']","","defaultdict(<class 'list'>, {'U1': ['6020']})","Sommer, R.; Ryan, J.; Masri, S.; Singh, M.; Diekmann, J.","115–116","http://www.sciencedirect.com/science/article/pii/S0167198711001140","","0167-1987",""
"1876","JOUR","Effect of land use and management on the early stages of soil water erosion in French Mediterranean vineyards","6064","Soil and Tillage Research","124","136","2009","['Erosion, Mediterranean region']","","defaultdict(<class 'list'>, {'U1': ['6064']})","Blavet, D.; De, N.G.; Le, B.Y.; Leonard, M.; Maillo, L.; Laurent, J.Y.; Asseline, J.; Leprun, J.C.; Arshad, M.a.; Roose, E.","106","http://www.sciencedirect.com/science/article/pii/S0167198709001019","1","0167-1987",""
"1877","JOUR","Effect of long-term conservation tillage on soil biochemical properties in Mediterranean Spanish areas","6079","Soil and Tillage Research","55","62","2009","['Soil tillage']","","defaultdict(<class 'list'>, {'U1': ['6079']})","Madejón, E.; Murillo, J.M.; Moreno, F.; López, M.V.; Arrúe, J.L.; Álvaro-Fuentes, J.; Cantero, C.","105","http://www.sciencedirect.com/science/article/pii/S0167198709001214","1","0167-1987",""
"1878","JOUR","Effect of Seeding Rate and Planting Arrangement on Rye Cover Crop and Weed Growth","6151","Agronomy Journal","47","51","2009","","","defaultdict(<class 'list'>, {'U1': ['6151']})","Boyd, N.S.; Brennan, E.B.; Smith, R.F.; Yokota, R.","101","http://dx.doi.org/10.2134/agronj2008.0059","","",""
"1879","JOUR","Effect of reducing red deer Cervus elaphus density on browsing impact and growth of Scots pine Pinus sylvestris seedlings in semi-natural woodland in the Cairngorms, UK","6153","Conservation Evidence","22","26","2017","","","defaultdict(<class 'list'>, {'U1': ['6153']})","Rao, S.J.","14","","","",""
"1880","JOUR","Effect of tetanus toxoid inoculation on mortality in the Cayo Santiago macaque population","6376","American Journal of Primatology","93-101","","1988","['tetanus']","","defaultdict(<class 'list'>, {'U1': ['6376']})","Kessler, M.J.; Berard, J.D.; Rawlins, R.G.","15","http://dx.doi.org/10.1002/ajp.1350150203","","1098-2345",""
"1881","JOUR","Effect of wood-pile feeders on the behaviour of captive bush dogs (Speothos venaticus)","6817","Animal Welfare","145-152","","1997","","","defaultdict(<class 'list'>, {'U1': ['6817']})","Young, R.J.","6","","","",""
"1882","JOUR","Effect of water quality on species richness and activity of desert-dwelling bats","6925","Mammalian Biology","185","190","2015","","","defaultdict(<class 'list'>, {'U1': ['6925']})","Korine, C.; Adams, A.M.; Shamir, U.; Gross, A.","80","https://www.sciencedirect.com/science/article/pii/S161650471500035X","","",""
"1883","JOUR","Effectiveness of a small marine reserve in southern California","7093","Marine Ecology Progress Series","39","52","2005","['Crassadoma gigantea']","","defaultdict(<class 'list'>, {'U1': ['7093']})","Parnell, P.; Lennert-Cody, C.; Geelen, L.; Stanley, L.; Dayton, P.","296","http://www.int-res.com/abstracts/meps/v296/p39-52/","","0171-8630, 1616-1599",""
"1884","JOUR","Effect of limited antlered harvest on mule deer sex and age ratios","7424","Wildlife Society Bulletin","662-668","","2005","","","defaultdict(<class 'list'>, {'U1': ['7424']})","Bishop, C.J.; White, G.C.; Freddy, D.J.; Watkins, B.E.","33","http://www.jstor.org/stable/3785094","2","00917648",""
"1885","JOUR","Effectiveness of above-ground pipeline mitigation for moose (Alces alces) and other large mammals","7535","Biological Conservation","332-343","","2009","","","defaultdict(<class 'list'>, {'U1': ['7535']})","Dunne, B.M.; Quinn, M.S.","142","https://www.sciencedirect.com/science/article/pii/S0006320708004229","2","0006-3207",""
"1886","JOUR","Effectiveness of a highway overpass to promote landscape connectivity and movement of moose and roe deer in Sweden","7781","Landscape and Urban Planning","133-139","","2008","","","defaultdict(<class 'list'>, {'U1': ['7781']})","Olsson, M.P.O.; Widén, P.; Larkin, J.L.","85","https://doi.org/10.1016/j.landurbplan.2007.10.006","","",""
"1887","JOUR","Effectiveness of a lighted, animated deer crossing sign","7806","The Journal of Wildlife Management","87-91","","1975","['Cervidae']","","defaultdict(<class 'list'>, {'U1': ['7806']})","Pojar, T.M.; Prosencer, R.A.; Reed, D.F.; Woodard, T.N.","39","http://www.jstor.org/stable/3800469","","",""
"1888","JOUR","Effective control of non-native American mink by strategic trapping in a river catchment in mainland Britain","7834","The Journal of Wildlife Management","545-554","","2013","['American mink']","","defaultdict(<class 'list'>, {'U1': ['7834']})","Reynolds, J.C.; Richardson, S.M.; Rodgers, B.J.E.; Rodgers, O.R.K.","77","http://dx.doi.org/10.1002/jwmg.500","3","1937-2817",""
"1889","JOUR","Effectiveness of acoustic road markings in reducing deer-vehicle collisions: a behavioural study","7949","Wildlife Biology","155-159","","2004","","","defaultdict(<class 'list'>, {'U1': ['7949']})","Ujvári, M.; Baagøe, H.J.; Madsen, A.B.","10","https://doi.org/10.2981/wlb.2004.011","","",""
"1890","JOUR","Effect of the creation of a marine protected area on populations of Coral Trout in the coral triangle region","8304","Regional Studies in Marine Science","1","9","2017","['Biomass, Distribution, Enforcement, No-take marine reserve']","","defaultdict(<class 'list'>, {'U1': ['8304']})","Chung, F.C.; Komilus, C.F.; Mustafa, S.","10","http://www.sciencedirect.com/science/article/pii/S2352485516301682","","2352-4855",""
"1891","JOUR","Effect of tow duration on length composition of trawl catches","8323","Fisheries Research","165","179","1990","","","defaultdict(<class 'list'>, {'U1': ['8323']})","Godø, O.R.; Pennington, M.; Vølstad, J.H.","9","http://www.sciencedirect.com/science/article/pii/016578369090062Z","2","0165-7836",""
"1892","JOUR","Effect of PA and PE material on codend selectivity in Turkish bottom trawl","8366","Fisheries Research","317","327","2004","['Selectivity, Annular sea bream, Codend material, Common pandora, L50, Polyamide, Polyethylene, Red mullet']","","defaultdict(<class 'list'>, {'U1': ['8366']})","Tokaç, A.; Özbilgin, H.; Tosunoğlu, Z.","67","http://www.sciencedirect.com/science/article/pii/S0165783603003023","3","0165-7836",""
"1893","JOUR","Effect of the headline height of gillnets on species selectivity in the Gulf of Maine","8417","Fisheries Research","252","256","2006","['Flounder, Species selectivity, Atlantic cod, Gillnet, Headline height']","","defaultdict(<class 'list'>, {'U1': ['8417']})","He, P.","78","http://www.sciencedirect.com/science/article/pii/S0165783606000269","2","0165-7836",""
"1894","JOUR","Effect of mesh size and codend circumference on selectivity in the Mediterranean demersal trawl fisheries","8467","Fisheries Research","252","258","2011","['Mediterranean Sea, Selectivity, Mesh size, Codend circumference, Codend rigging ratio, Demersal trawl fisheries']","","defaultdict(<class 'list'>, {'U1': ['8467']})","Sala, A.; Lucchetti, A.","110","http://www.sciencedirect.com/science/article/pii/S0165783611001615","2","0165-7836",""
